date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2015-07-01,54,29,48,48,20,30,71,27,64,22,22,48,50,68,73,34,83,55,78,79,36,12,42,63,54,87,34,72,56,2,23,44,67,45,63,41,0,52,57,51,52,50,50,37
2015-08-01,55,6,53,47,17,39,73,25,61,23,23,46,55,65,67,46,83,39,69,77,33,9,49,66,63,82,30,68,57,2,17,31,63,40,70,47,0,47,72,52,35,48,47,32
2015-09-01,55,9,51,79,23,39,56,28,70,23,23,37,70,65,71,44,83,53,93,65,33,9,51,61,54,87,37,72,75,2,32,46,75,45,64,56,0,53,65,57,37,75,64,38
2015-10-01,53,8,63,70,24,44,53,32,68,24,29,36,75,67,63,40,87,60,92,56,36,9,42,64,57,87,31,71,80,2,48,34,68,41,67,76,0,41,57,55,27,79,68,37
2015-11-01,54,0,75,85,27,30,46,38,71,24,30,46,83,77,65,51,78,47,95,50,35,8,46,63,56,86,28,71,71,2,69,42,63,39,73,91,0,34,48,58,34,88,72,36
2015-12-01,54,0,77,67,22,27,44,26,60,21,22,42,62,68,52,48,85,34,79,48,30,6,41,63,65,72,22,62,54,2,43,32,48,36,61,40,0,43,47,49,20,65,55,28
2016-01-01,57,6,69,86,27,36,50,34,75,26,26,39,77,58,71,86,83,48,100,69,41,8,53,66,60,93,35,75,78,2,67,37,63,45,70,68,0,33,55,53,26,86,77,42
2016-02-01,60,9,68,80,27,43,50,36,74,26,35,38,82,60,70,100,84,49,92,66,39,10,58,72,66,92,34,76,77,2,66,38,63,46,71,75,0,39,57,60,37,89,74,39
2016-03-01,57,13,70,80,28,47,52,36,71,28,45,39,85,60,66,83,87,55,89,66,39,12,49,67,68,87,31,79,69,2,74,36,64,43,62,84,0,38,52,65,38,89,71,38
2016-04-01,55,18,79,77,28,46,47,37,72,28,38,37,85,60,75,53,85,53,86,70,40,17,46,68,63,84,32,79,63,2,86,41,60,48,61,86,0,42,54,60,32,92,67,38
