date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant
2022-09-01,86,0,27,54,96,67,0,52,78,53,45,50,45,59,67,61,77,74,94,69,57,35,39,85
2022-10-01,81,0,33,38,94,46,0,64,80,51,29,47,53,64,50,43,79,55,86,57,71,33,48,87
2022-11-01,80,0,45,57,98,42,0,64,79,80,45,42,60,92,40,53,74,53,92,50,74,42,62,79
2022-12-01,88,0,40,0,80,0,0,59,66,100,35,48,54,84,26,36,69,50,80,45,63,49,76,85
2023-01-01,86,0,32,50,75,62,0,54,82,81,34,45,37,46,64,46,75,71,92,77,66,100,41,86
2023-02-01,91,0,34,69,75,0,0,54,79,60,34,47,47,52,50,41,79,69,95,62,66,60,49,93
2023-03-01,88,0,34,73,82,47,41,76,81,56,40,44,51,53,57,54,86,57,95,66,77,44,41,89
2023-04-01,87,0,33,62,70,65,42,55,74,60,30,41,38,54,58,47,77,60,90,76,76,33,44,86
2023-05-01,82,95,31,78,66,42,0,58,79,56,50,42,57,53,46,61,76,58,90,75,63,29,42,76
2023-06-01,83,0,29,60,60,54,0,44,74,51,28,52,27,52,54,76,70,62,84,78,67,25,34,94
2023-07-01,91,0,33,38,53,54,0,39,68,58,29,52,31,53,59,43,75,61,83,80,65,28,37,96
2023-08-01,80,0,29,40,53,50,0,46,77,57,24,55,22,57,59,63,75,56,84,81,58,28,38,100
2023-09-01,78,0,28,64,56,53,0,56,76,50,34,45,34,63,51,49,73,60,92,63,70,30,41,82
2023-10-01,85,0,34,83,59,57,0,54,79,52,32,48,53,67,40,44,77,86,89,61,78,33,46,81
2023-11-01,83,0,48,72,69,44,0,60,81,53,33,49,72,92,44,47,71,63,90,54,80,41,47,86
2023-12-01,87,0,41,80,57,0,47,66,67,54,35,41,51,94,33,45,68,68,80,48,85,47,50,87
2024-01-01,90,0,34,57,70,52,0,50,82,62,30,42,54,51,47,66,76,98,91,74,60,77,41,79
2024-02-01,86,0,33,70,73,52,0,55,82,60,30,32,20,56,69,58,83,68,94,66,76,55,38,83
2024-03-01,84,0,29,72,70,0,0,59,78,62,41,34,43,57,48,66,80,61,92,64,85,29,38,83
2024-04-01,75,0,31,70,73,65,0,63,86,61,45,32,60,56,74,57,78,61,93,68,81,31,43,80
2024-05-01,77,0,28,0,61,52,0,50,77,59,40,32,45,56,63,64,76,63,87,75,85,26,38,80
2024-06-01,88,0,29,40,57,0,0,46,69,62,41,33,29,56,54,72,71,69,82,80,55,24,44,84
2024-07-01,95,0,30,30,47,0,0,44,73,64,37,37,22,58,88,62,73,59,82,88,69,29,50,86
2024-08-01,86,0,30,42,54,52,0,44,73,59,23,36,22,65,65,53,75,60,82,81,63,24,28,96
2024-09-01,79,0,27,70,55,83,0,52,82,54,27,30,37,66,68,63,82,70,96,74,74,30,34,84
2024-10-01,89,0,34,42,60,51,0,57,85,58,53,33,73,67,100,64,85,86,93,60,74,36,43,78
2024-11-01,90,0,46,78,67,0,0,58,85,56,49,33,61,100,57,62,77,67,94,57,79,36,38,73
2024-12-01,88,0,36,50,59,68,0,58,74,54,23,30,57,99,42,40,73,72,84,52,79,41,45,81
2025-01-01,93,0,26,67,61,0,0,48,87,52,27,35,50,53,56,60,83,100,100,72,66,63,36,69
2025-02-01,91,0,29,45,67,0,0,56,87,58,40,31,44,56,70,89,77,69,97,74,76,42,38,78
2025-03-01,86,0,32,54,61,70,0,55,80,60,46,31,66,64,51,82,86,62,99,75,74,27,37,75
2025-04-01,81,0,32,61,61,0,0,55,80,64,36,31,47,75,69,93,83,66,97,79,70,23,39,78
2025-05-01,83,0,28,56,52,0,0,47,80,58,22,31,48,57,94,90,82,66,90,90,64,19,40,73
2025-06-01,90,0,31,0,57,100,0,43,74,55,29,38,43,61,61,85,82,71,88,100,77,21,32,84
2025-07-01,97,0,30,42,45,58,52,42,74,50,34,34,30,60,74,71,85,67,83,92,68,19,32,84
2025-08-01,95,0,31,0,56,57,0,41,73,58,31,32,19,61,66,100,88,67,85,92,72,17,32,86
2025-09-01,86,0,27,72,48,0,0,50,85,54,23,30,51,59,77,77,85,68,93,75,69,22,34,80
2025-10-01,97,0,34,50,62,0,0,64,84,62,51,31,57,72,74,90,86,88,95,66,74,26,37,78
