date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price,power cut schedule,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2015-02-01,65,0,61,0,32,0,0,57,26,36,46,38,61,34,31,52,50,27,70,12,19,25,40,24,8,40,0,29,32,32,0,0,13,0,29,0,28,0,0,32,16,10,70,19
2015-03-01,68,0,66,0,34,0,55,63,26,34,41,37,82,37,22,43,51,33,66,14,18,25,36,25,11,43,1,28,0,33,0,0,11,0,0,0,42,0,0,30,16,10,64,19
2015-04-01,100,0,58,0,34,0,31,62,27,37,18,36,81,38,0,50,54,31,65,17,15,26,35,28,9,44,0,25,34,28,0,0,0,0,35,0,53,0,0,24,14,11,66,18
2015-05-01,90,0,52,0,32,0,90,58,26,31,46,37,48,39,16,53,50,37,63,19,12,19,37,28,10,40,2,24,0,39,0,0,12,11,27,0,67,0,0,24,14,10,66,18
2015-06-01,64,0,57,0,31,0,80,51,28,32,34,43,54,40,18,39,47,42,60,21,0,17,27,29,11,38,2,23,28,40,0,0,0,0,0,0,82,41,0,30,18,10,74,17
2015-07-01,61,0,57,0,30,0,44,57,27,31,46,47,47,42,18,37,42,46,60,24,11,20,26,37,13,36,2,24,35,35,0,0,0,0,0,0,91,29,0,27,10,8,68,18
2015-08-01,67,0,50,0,31,0,81,56,23,27,30,47,40,40,14,28,40,37,55,22,10,20,36,41,14,37,2,23,35,37,0,0,0,0,34,0,70,51,0,28,8,5,59,18
2015-09-01,64,0,69,0,27,0,77,62,26,27,25,39,58,41,12,24,51,34,70,18,14,24,44,32,12,45,2,26,33,37,0,0,0,0,38,0,83,39,0,26,9,9,75,17
2015-10-01,58,0,64,0,29,0,47,59,26,28,34,37,85,39,21,48,54,33,66,13,15,20,32,28,12,42,1,26,0,32,0,0,0,11,37,0,65,28,0,24,10,10,66,17
2015-11-01,51,0,66,0,27,0,35,54,26,23,40,43,57,40,26,46,57,34,68,11,0,23,32,24,13,41,1,26,38,25,0,0,0,0,0,0,31,22,0,29,10,10,61,17
2015-12-01,51,0,73,24,30,0,100,56,24,24,36,35,31,39,16,31,53,33,60,11,15,17,30,24,11,35,2,25,42,32,0,0,0,0,23,0,26,28,0,25,9,9,58,14
2016-01-01,55,0,62,24,31,0,31,68,30,26,44,39,58,36,19,34,47,41,66,14,28,23,40,23,13,44,2,28,0,34,0,0,12,0,26,0,27,30,0,25,14,10,68,25
2016-02-01,52,0,65,0,32,0,0,71,27,29,57,36,69,38,25,63,49,37,69,15,16,27,42,25,11,43,0,27,51,34,0,0,0,12,20,0,25,0,0,27,14,11,69,26
2016-03-01,53,0,66,0,32,0,0,69,29,31,100,36,72,38,13,45,49,40,71,17,15,24,33,27,8,43,2,27,24,38,0,0,21,9,36,0,36,0,0,28,11,12,63,24
2016-04-01,48,0,62,23,31,0,41,61,29,28,67,36,90,40,22,42,49,43,67,19,22,29,36,29,11,43,2,26,34,41,0,0,31,10,28,0,45,43,0,28,11,12,64,26
2016-05-01,52,0,57,0,32,0,0,59,31,36,47,40,62,37,22,55,52,47,67,21,15,32,31,33,14,45,1,28,34,42,0,0,17,9,32,0,70,35,0,30,13,11,69,24
2016-06-01,49,0,57,0,32,0,41,60,29,30,35,43,49,41,19,50,44,38,62,24,17,30,41,34,15,43,3,29,0,29,0,0,37,0,33,0,78,0,0,31,14,12,73,22
2016-07-01,47,0,62,0,28,0,48,62,28,45,32,55,46,41,25,35,37,30,55,26,11,23,33,41,13,36,0,26,0,33,0,0,30,0,22,0,84,39,0,25,7,9,64,22
