date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price
2015-08-01,43,0,79,0,12,0,43,12,25,19,18,65,41,57,6,8,44,22,59,51,17,77,44,63,12,66,23,45,0,39,0,0,0,14,30,0,73,0
2015-09-01,37,0,80,0,14,0,48,17,29,27,25,63,49,57,0,16,48,23,67,49,36,50,39,62,9,75,0,49,17,39,0,0,0,13,0,0,46,0
2015-10-01,35,0,76,0,12,0,36,19,29,30,39,61,44,57,9,17,50,27,63,49,49,72,34,62,11,72,16,48,15,35,0,0,0,13,39,0,49,0
2015-11-01,31,0,82,0,15,0,42,17,29,26,20,72,48,54,8,15,44,23,61,50,36,56,37,61,10,66,0,47,21,30,0,0,20,13,27,0,60,0
2015-12-01,36,0,91,0,15,98,31,18,28,28,26,75,54,60,7,14,45,25,57,63,29,51,40,71,9,60,21,49,16,34,0,0,24,11,0,0,41,0
2016-01-01,30,72,77,0,15,0,31,14,24,23,26,67,31,48,6,12,37,28,58,44,15,45,34,55,7,57,0,46,11,42,0,0,22,9,46,0,39,0
2016-02-01,29,0,85,0,16,0,47,13,27,20,32,61,46,47,8,12,39,26,56,44,29,48,37,56,8,57,17,49,13,31,0,0,0,16,38,0,43,0
2016-03-01,30,0,74,35,17,0,42,15,26,25,54,62,41,49,0,10,40,26,52,47,28,45,35,53,9,60,0,51,17,36,0,0,0,12,0,0,56,0
2016-04-01,30,0,73,0,15,0,26,16,25,24,23,69,35,46,0,14,41,26,48,48,27,56,36,53,7,58,12,47,13,37,0,0,0,9,37,0,38,0
2016-05-01,32,0,74,0,18,0,31,15,23,22,20,73,37,47,0,15,44,25,51,55,30,53,36,55,11,54,13,46,13,32,0,0,17,0,0,0,47,43
2016-06-01,34,0,91,0,13,0,44,15,21,25,28,65,33,47,8,10,46,24,48,52,26,43,41,72,12,48,15,50,0,25,0,0,20,9,0,0,48,0
2016-07-01,38,65,94,0,8,0,0,11,19,38,16,65,24,50,0,10,44,26,45,59,14,44,37,64,11,47,14,48,0,27,0,0,0,0,0,0,35,0
2016-08-01,38,0,87,0,7,0,25,13,20,32,21,59,33,41,5,10,45,28,50,46,11,49,35,54,11,56,12,46,0,23,0,0,0,8,0,0,43,0
2016-09-01,31,0,72,0,9,0,40,15,24,26,23,57,34,40,7,8,45,28,55,45,24,41,34,56,11,57,11,48,13,23,0,0,0,9,0,0,56,0
2016-10-01,30,0,73,0,12,75,33,15,24,25,35,56,40,39,9,13,45,27,56,45,42,42,31,55,9,56,13,47,0,21,0,0,0,12,22,0,52,0
2016-11-01,27,0,83,0,13,0,32,16,23,25,28,64,44,37,5,15,43,26,55,47,33,41,31,53,6,60,14,50,16,28,0,0,0,13,32,0,41,0
2016-12-01,30,0,82,0,12,0,30,14,21,27,17,54,29,37,5,7,41,26,45,57,21,42,36,63,12,50,0,51,0,25,0,0,13,11,29,0,30,0
2017-01-01,27,67,76,0,14,0,39,14,21,23,0,55,27,36,7,10,42,29,51,50,18,41,34,62,13,53,18,50,0,34,0,0,0,9,32,0,45,0
2017-02-01,26,0,82,0,13,0,29,16,23,23,27,58,40,34,6,12,45,28,51,46,26,52,31,57,10,52,15,48,15,35,0,0,0,10,0,0,46,0
2017-03-01,26,56,82,0,13,0,26,15,25,26,28,51,40,39,6,11,43,27,52,50,30,50,29,55,11,55,13,48,0,27,0,0,0,17,22,0,39,44
2017-04-01,26,65,89,0,10,60,0,15,22,28,24,51,36,36,6,13,46,27,48,51,29,38,32,55,14,50,11,47,0,23,0,0,0,11,33,0,44,0
2017-05-01,28,0,89,0,15,0,31,14,22,24,16,53,32,36,7,14,44,28,46,50,20,37,31,61,13,54,12,49,0,29,0,0,0,0,41,0,46,39
2017-06-01,31,0,90,0,10,0,0,14,20,26,24,56,25,38,0,9,41,24,42,66,24,31,29,77,14,39,22,46,0,30,0,0,0,10,0,0,51,0
2017-07-01,28,0,82,0,9,0,24,13,20,24,14,53,24,34,8,10,41,31,45,58,15,34,30,65,16,49,18,49,10,43,0,0,0,10,0,0,28,0
2017-08-01,25,0,79,0,8,0,31,13,21,21,12,54,24,35,8,15,44,33,48,52,16,37,34,65,13,56,0,49,11,21,0,0,14,11,0,0,52,61
2017-09-01,34,0,90,0,9,0,0,17,23,27,25,49,34,35,4,15,46,31,53,52,31,33,32,64,16,51,0,51,13,24,0,0,13,6,44,0,42,0
2017-10-01,35,0,85,0,13,0,26,18,25,25,23,48,39,36,8,12,46,34,51,49,44,30,23,61,16,57,15,50,11,35,0,0,0,17,24,0,47,0
2017-11-01,27,0,87,0,17,0,28,17,25,26,23,48,32,38,5,18,45,43,56,55,28,40,20,60,15,58,18,51,15,26,0,0,0,8,22,0,40,54
