date,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht,/m/02v_8dy,/m/09jx2,/m/04n7dpf,/m/0g_fl,/m/01rd35,/m/016ldw,/g/11cks2gbc8,/m/0cvgr,/m/06bmj_x,/m/06lry,/m/0hbm6,/m/0drqp,/m/014dsx,/m/07s_c,/g/11bc57hf91,/m/01tzw5,/m/018m33,/g/121g16mn,/g/1216wtvp,/m/088p1q,/g/1236svz8,/m/0pb8nv_,/m/02r5p3,/m/05457c,/m/0218w7,/g/11w4h00ll9,/m/06bmj_y,/m/026gdg4,/m/09y23_,/m/01s_5,/m/01cf44,/m/0545k,/m/01cf0p,/m/0cs24,/m/0z_xz,/m/0d130,/m/0hdyy,/m/011d_9rh,/m/04sng5,/m/0hhw8xd,/m/05nxj0,/m/0c40cq0,/m/06njd,/m/081zw_,/m/02vtq7g,/m/091tvr,/m/02r49f,/m/01406c,/m/04f0h,/m/020d7_,/g/1213tqm6,/m/0h7q5bz,/m/025t20m,/m/042px7,/m/017l39,/g/11cp7w3r6w,/g/11fsrblbyd,/m/03nw7w,/g/11lc9ltvgb,/g/11s7rb01fr,/g/120lq987,/m/079gm,/g/1q582vwlz
2014-05-01,40,0,67,45,55,0,15,46,49,68,0,0,0,0,25,59,36,58,34,65,52,46,0,0,8,0,0,0,0,0,0,0,0,0,10,0,27,0,0,44,0,0,53,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,32,0
2014-06-01,38,0,71,44,53,0,16,53,47,53,89,0,0,0,29,64,39,55,22,0,0,47,0,0,11,0,0,0,0,0,0,0,0,0,11,0,30,0,0,33,0,0,54,45,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,69,0,0,0,0,0
2014-07-01,37,0,82,44,47,0,20,53,48,29,0,0,0,0,42,53,45,56,26,69,0,48,0,0,7,0,0,0,0,0,0,0,0,0,9,0,28,0,0,36,0,0,44,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,32,0
2014-08-01,40,0,71,44,47,0,15,45,51,31,72,0,0,27,47,54,46,56,25,0,0,51,0,0,0,0,0,0,0,75,0,27,0,35,10,0,28,14,0,28,0,0,54,49,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,73,0,0,0,26,0
2014-09-01,40,0,71,47,46,0,14,49,52,47,0,0,0,23,29,77,48,58,17,53,0,51,0,0,9,0,0,0,0,0,0,23,0,0,11,0,0,0,0,0,0,0,64,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,42,0
2014-10-01,35,0,47,39,39,0,12,54,49,36,0,0,0,0,25,57,44,58,24,62,0,47,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,53,36,0,0,52,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,71,37,0
2014-11-01,35,0,67,41,40,0,12,52,52,49,76,0,0,23,28,66,47,58,27,0,72,50,0,0,7,0,0,0,0,0,0,23,0,0,12,0,30,15,56,46,0,0,56,0,0,0,0,0,0,76,0,0,0,46,0,0,0,0,0,0,0,0,63,0,0,0,27,0
2014-12-01,31,0,48,34,36,0,12,39,41,42,0,0,0,0,33,47,37,53,19,72,0,49,0,0,6,0,0,0,0,0,0,0,0,0,11,0,44,0,0,25,0,0,42,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,23,0
2015-01-01,36,0,54,37,34,0,12,45,41,29,100,0,0,20,31,62,43,55,19,0,0,53,0,0,6,0,0,0,0,0,0,20,0,0,8,0,34,0,0,33,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0
2015-02-01,37,0,41,35,35,0,13,56,46,53,0,0,69,0,22,56,43,60,15,0,57,52,0,0,15,0,0,0,0,0,0,0,0,0,8,0,0,17,0,40,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,24,0
2015-03-01,65,0,44,38,37,0,14,55,53,37,73,0,0,0,52,63,31,60,17,0,57,52,0,0,0,0,0,0,0,64,0,0,0,0,10,0,36,15,0,26,52,0,42,38,0,0,0,0,0,0,0,0,0,42,51,100,0,0,0,0,0,0,67,0,0,0,0,0
2015-04-01,64,0,58,38,33,0,13,53,45,42,0,0,0,22,26,58,35,65,17,65,0,48,0,0,0,0,0,0,0,50,100,22,0,0,9,0,27,22,0,27,67,0,33,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0
2015-05-01,38,0,44,38,34,0,15,43,46,42,0,0,0,0,27,54,33,58,23,0,61,48,0,0,0,0,0,0,0,0,0,0,0,0,12,0,29,20,47,31,69,0,42,42,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,57,0,0,0,29,0
2015-06-01,39,0,61,38,39,0,12,42,44,38,0,0,66,17,34,56,32,59,16,0,53,54,0,0,7,0,0,0,0,43,0,17,0,0,12,0,38,15,51,35,78,0,39,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,53,0,0,0,21,0
2015-07-01,34,0,57,37,37,0,11,40,43,38,0,0,62,0,27,48,32,60,16,0,42,46,0,0,10,0,0,0,0,41,0,0,0,0,8,0,41,13,37,34,56,0,41,0,40,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,62,0,0,0,23,0
2015-08-01,36,0,57,37,33,0,12,36,44,28,0,0,0,0,48,49,45,62,11,59,0,48,0,0,12,0,0,0,0,37,0,0,0,31,10,0,19,0,0,0,53,59,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,46,0,0,0,22,0
2015-09-01,44,0,57,39,35,0,11,44,41,31,0,0,0,22,29,61,48,59,20,45,47,67,0,0,16,0,0,0,0,47,0,22,0,0,9,0,44,11,57,20,0,0,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,53,0,0,0,20,0
2015-10-01,40,0,58,39,32,0,16,45,45,48,0,0,0,16,31,63,36,59,19,0,50,54,0,0,8,0,0,0,0,0,0,16,0,19,10,0,37,0,50,30,0,54,37,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,54,0,0,0,19,0
2015-11-01,34,0,46,36,32,0,12,42,43,41,0,0,0,0,28,53,34,57,21,0,0,47,0,0,5,0,0,0,0,37,0,0,0,0,12,46,41,11,0,47,55,0,34,26,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,55,0,0,0,20,0
2015-12-01,30,0,40,33,31,0,10,42,41,39,0,0,0,0,30,50,25,62,21,0,49,49,0,0,7,0,0,0,0,0,0,0,0,0,12,0,41,0,0,32,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,28,0
2016-01-01,41,0,52,41,30,0,9,37,41,32,0,0,0,15,38,54,41,60,19,0,0,41,0,0,7,0,0,0,0,0,0,15,0,0,10,0,18,11,0,38,0,0,36,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,54,0,0,0,21,0
2016-02-01,33,0,53,38,30,0,13,39,41,41,0,0,0,0,31,46,28,59,22,44,0,48,0,0,6,0,0,0,0,0,0,0,0,0,10,60,35,0,34,35,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,25,0
2016-03-01,36,0,53,40,32,0,16,40,35,46,0,0,0,14,33,52,28,57,18,0,0,40,0,0,10,0,0,0,0,0,0,14,0,0,11,0,27,12,0,56,51,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,32,0
2016-04-01,38,0,53,33,28,0,13,46,37,37,0,0,0,24,28,55,25,61,24,0,0,45,0,0,5,0,0,0,0,36,0,24,0,0,10,0,26,12,0,29,0,0,33,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,43,0,0,0,29,0
2016-05-01,40,0,70,43,32,0,14,48,47,39,0,0,0,19,34,56,33,55,22,76,35,39,0,0,0,0,0,0,0,37,0,19,0,0,15,0,28,10,64,38,0,0,43,26,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,51,0,0,0,47,0
2016-06-01,38,0,62,45,31,0,12,49,44,45,0,0,0,15,47,58,42,59,20,0,45,45,0,0,5,0,0,0,0,51,0,15,0,0,9,0,45,14,43,40,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,26,0
2016-07-01,35,0,56,38,30,0,13,44,35,34,67,0,96,20,31,51,26,58,18,41,0,40,0,0,5,0,0,0,0,0,0,20,0,0,8,0,26,14,42,29,52,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,20,0
2016-08-01,30,0,53,34,29,0,9,45,33,26,55,0,0,0,36,45,24,59,11,0,31,37,0,0,7,0,0,0,0,0,0,0,0,24,8,0,0,9,34,23,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,23,0
2016-09-01,35,0,56,35,28,0,16,45,38,42,51,0,0,0,34,50,25,64,15,43,41,37,0,0,5,0,0,0,0,0,0,0,0,0,9,0,21,17,35,33,0,0,43,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,41,0
2016-10-01,32,0,49,31,30,0,14,41,36,61,0,0,0,25,22,60,23,57,16,0,32,34,0,0,5,0,0,0,0,34,0,25,0,0,13,0,27,15,0,43,0,0,37,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,46,0,0,0,31,0
2016-11-01,37,0,23,30,3,0,11,27,38,42,0,0,0,0,32,63,32,59,20,0,0,28,0,0,4,0,0,0,0,0,0,0,0,18,11,0,48,0,30,100,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,50,0,0,0,18,0
