date,Age,Cosmetics,Inflation,Forex rate,confidence,health,weakness,trajectory,news,market,applicant,drive,wage,active,rental,rebate,goal,restaurant,takeaway,training,care,cost of living,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,Air Conditioner Price,Bank loan rate,onsite,annuity,childcare,career opportunities,Economic development,Employment Rate,economic policies
2015-05-01,63,44,25,0,75,49,0,0,36,48,0,68,45,58,42,0,48,41,0,72,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,52,63,15,0,0,38,36,0,41,48,0,63,0,60,58,0,44,41,0,74,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,48,62,16,0,0,42,0,0,37,52,0,59,36,61,69,0,20,51,0,73,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,42,45,14,0,0,34,0,0,30,53,0,53,51,48,46,0,42,43,0,69,52,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,38,48,0,0,35,39,0,0,28,55,0,64,36,58,43,0,25,32,0,69,50,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-01,45,61,17,0,52,45,0,0,29,53,0,72,51,61,38,0,23,51,0,71,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-01,47,66,18,0,71,47,0,0,40,50,0,77,49,54,33,0,31,45,0,77,51,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,58,62,17,0,54,50,0,0,28,54,0,74,59,73,41,0,32,46,0,69,56,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01-01,54,71,14,0,0,55,38,0,32,45,0,70,45,66,56,0,27,35,0,91,63,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-01,51,77,0,0,80,58,43,0,32,53,0,76,59,69,62,0,21,45,0,100,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,48,67,15,0,88,57,35,0,32,51,0,70,59,71,60,0,37,42,0,89,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-01,53,82,20,0,100,57,66,0,28,51,0,80,72,69,54,0,35,44,0,76,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-01,44,71,23,0,82,49,0,0,28,44,0,73,34,65,60,0,37,49,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,48,58,20,0,58,50,39,0,36,45,0,62,50,63,77,0,79,54,0,80,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,53,66,18,0,0,47,86,0,45,46,0,51,65,50,61,0,43,60,0,63,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-01,50,98,0,0,0,41,63,0,33,44,0,54,50,60,67,0,24,61,0,70,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,49,70,16,0,0,62,0,0,28,45,0,77,65,68,60,0,35,51,0,72,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,45,83,16,0,59,62,0,0,28,44,0,80,54,83,51,0,25,58,0,87,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,48,84,20,0,60,55,0,0,36,48,0,79,58,63,41,0,39,52,0,75,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-01,57,96,0,0,68,46,0,0,31,50,0,75,67,76,46,0,28,50,0,65,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,51,71,0,0,62,55,0,0,32,42,0,74,56,66,63,0,23,43,0,85,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,52,79,0,0,0,55,0,0,29,40,0,77,46,62,58,0,28,52,0,87,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-01,47,72,22,0,57,59,41,0,30,50,0,84,72,76,57,0,30,56,0,84,66,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-01,48,70,0,0,75,54,57,0,35,44,0,81,59,64,54,0,30,50,0,75,64,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-01,45,65,15,0,55,53,0,0,32,41,0,87,65,66,58,0,25,54,0,80,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-01,53,68,0,0,0,46,0,0,40,44,0,58,50,67,72,0,26,60,100,64,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-01,49,78,0,0,0,48,38,0,37,51,0,49,63,56,77,0,26,71,0,65,62,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-01,50,76,18,0,0,49,32,0,39,48,0,56,65,59,68,0,26,66,0,72,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09-01,48,69,0,0,0,60,0,0,41,44,0,77,65,67,58,0,24,58,0,79,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10-01,43,79,22,0,44,53,38,0,36,47,0,80,48,72,51,0,30,65,0,67,68,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11-01,44,91,21,0,62,59,0,0,32,51,0,86,52,65,42,0,24,57,0,68,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12-01,49,85,16,0,53,58,0,0,33,65,0,71,44,56,40,0,24,58,0,62,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,49,71,16,0,63,54,44,0,38,54,0,78,53,70,67,0,29,49,0,76,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02-01,48,79,17,0,50,47,0,0,28,48,0,76,71,72,55,0,29,49,66,76,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03-01,48,85,22,0,63,60,35,0,31,46,0,79,51,64,56,0,24,62,0,78,65,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04-01,48,72,17,0,0,58,40,0,35,46,0,79,56,73,57,0,30,59,73,75,73,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05-01,48,57,15,0,0,59,0,0,33,47,0,83,52,63,65,0,28,58,0,62,66,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-01,50,60,19,0,0,51,37,0,35,46,100,57,49,66,74,0,79,69,0,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07-01,49,58,0,0,62,48,0,0,39,44,0,47,53,58,83,0,53,84,0,62,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08-01,47,66,0,0,49,46,45,0,35,47,0,52,65,66,70,0,29,78,0,74,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09-01,50,73,16,0,55,48,32,0,30,45,0,68,66,70,65,0,25,63,0,68,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-10-01,47,78,23,0,0,53,31,0,32,45,0,65,88,68,52,0,27,63,0,64,67,51,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
2018-11-01,46,76,22,0,62,53,0,0,30,50,0,74,83,64,40,0,22,58,62,69,66,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-01,58,63,14,0,56,52,60,0,32,64,0,66,76,64,55,0,19,68,0,72,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01,62,74,19,0,41,55,0,0,34,43,0,65,56,62,63,0,31,50,61,81,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2019-02-01,52,71,20,0,0,54,0,0,31,46,0,67,46,70,75,0,28,58,0,70,69,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-03-01,47,80,28,0,69,57,0,0,32,45,0,63,70,67,59,0,26,68,0,77,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-04-01,54,63,17,0,0,63,31,0,33,48,0,66,62,75,64,0,34,61,91,63,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-01,53,65,21,0,46,57,29,0,32,47,0,78,54,63,68,0,26,62,0,63,77,71,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0
2019-06-01,50,62,0,0,0,44,0,0,35,48,0,62,63,67,74,0,22,75,0,62,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01,56,61,17,0,0,46,58,0,42,49,0,51,44,69,99,0,23,100,0,56,72,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01,55,60,17,0,61,56,74,0,38,52,0,52,66,67,81,0,21,83,0,72,60,0,0,0,0,0,0,0,0,0,84,0,0,78,0,0,0,0,0
2019-09-01,46,64,19,0,43,64,28,0,34,49,0,74,61,76,69,0,23,65,60,68,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01,46,71,12,0,65,62,30,0,35,47,0,78,50,90,63,0,21,68,60,62,72,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01,55,95,17,0,54,64,34,0,32,55,0,83,56,88,48,0,25,66,0,67,82,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
2019-12-01,61,67,18,0,71,56,66,0,32,58,0,71,58,89,56,0,24,63,0,57,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,58,62,20,0,43,62,32,0,47,48,0,76,68,89,69,0,24,53,71,71,69,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,58,70,18,0,42,63,28,0,43,49,0,82,59,84,62,0,24,56,0,73,70,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
2020-03-01,66,76,20,0,51,86,49,0,85,62,0,98,57,75,30,0,21,38,0,68,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,62,83,20,0,49,70,55,0,52,48,0,92,39,74,18,0,21,15,0,70,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,63,72,15,0,51,61,31,0,38,46,0,89,56,81,19,0,17,24,0,70,78,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,59,63,22,0,44,51,46,0,41,48,0,62,47,84,37,0,26,37,0,58,72,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,57,65,14,0,45,59,55,0,42,50,0,51,64,85,48,0,19,57,0,56,66,59,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,59,68,12,0,0,62,47,0,50,46,0,55,62,86,39,0,25,54,0,60,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,49,62,23,0,0,63,40,0,43,47,0,84,59,73,20,0,17,35,0,60,74,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,52,69,22,0,64,62,45,0,40,46,0,74,49,82,26,0,25,46,0,64,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,59,76,17,0,39,66,51,0,62,45,0,73,46,78,20,0,32,31,0,52,67,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,53,84,29,0,0,67,49,0,38,49,0,64,80,81,19,0,29,27,0,48,62,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,67,82,25,0,0,69,52,0,47,53,0,62,45,83,24,0,27,21,0,58,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
2021-02-01,52,68,16,0,0,68,77,0,36,56,0,65,40,82,24,0,20,23,0,53,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,61,76,28,0,50,73,38,0,37,49,0,71,45,84,22,0,25,16,0,54,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,65,70,35,0,57,63,43,0,40,49,0,69,49,83,29,0,20,15,0,56,73,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,50,48,38,0,40,63,53,0,37,50,0,77,55,92,35,0,22,27,0,51,70,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,58,51,20,0,0,51,47,0,38,44,0,61,50,69,48,0,42,46,0,47,62,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,52,46,19,0,0,57,48,0,37,52,0,58,62,70,63,0,37,59,0,48,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-01,62,76,26,0,47,58,91,0,44,47,0,54,47,69,50,0,15,59,0,56,56,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,48,50,23,0,77,66,50,0,35,53,0,69,80,74,46,0,34,45,0,57,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,53,61,42,0,0,74,85,0,36,56,0,64,57,67,46,0,28,53,0,53,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-01,55,70,34,0,68,68,57,0,39,64,0,70,53,66,40,0,33,45,0,50,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-01,55,74,22,0,64,73,38,0,37,69,0,70,55,72,34,0,25,48,75,56,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01,72,73,40,0,48,88,69,0,43,67,0,91,69,71,60,0,34,38,0,76,79,0,0,0,0,0,0,0,0,0,0,0,43,66,0,0,0,0,0
2022-02-01,67,65,52,0,44,78,54,100,100,73,0,83,100,68,67,0,26,47,0,73,74,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,62,66,64,0,65,76,83,0,76,68,0,88,71,74,70,0,30,49,0,66,81,71,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,66,78,58,0,65,76,77,0,54,59,0,100,93,76,81,0,25,61,75,62,77,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-01,62,63,87,0,55,74,65,0,40,58,0,93,76,73,84,100,27,65,0,70,73,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,61,75,82,0,56,62,61,0,39,60,0,81,80,61,86,0,28,60,0,64,71,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,83,64,95,0,88,71,100,0,39,60,0,66,89,58,74,0,18,80,0,69,71,75,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,65,77,100,0,38,66,78,0,38,59,0,70,74,71,77,0,24,73,0,63,69,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,68,73,98,0,64,74,37,95,48,63,0,90,70,72,60,0,27,55,0,64,73,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,64,61,90,0,79,83,51,0,40,58,0,94,68,78,57,0,33,54,42,64,76,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01,70,82,71,0,80,78,64,0,37,63,0,93,68,73,53,0,49,57,0,59,78,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,73,77,82,0,68,68,72,0,33,65,0,79,70,73,51,0,67,56,0,61,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,72,73,77,0,68,89,90,0,36,60,0,89,85,77,74,0,33,54,0,78,80,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,63,81,61,0,58,78,70,0,34,58,0,89,76,73,69,0,26,58,0,66,76,57,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-01,65,84,83,0,63,77,64,0,35,55,0,91,78,77,73,0,28,58,0,68,72,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,67,84,46,0,39,81,38,0,30,57,0,84,88,78,68,0,26,58,0,68,76,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
2023-05-01,69,63,45,0,34,83,42,0,34,56,0,93,76,73,63,0,28,56,0,57,77,97,0,0,0,55,0,0,0,0,0,0,34,0,0,0,0,0,0
2023-06-01,69,67,57,0,0,71,53,0,44,55,0,72,71,72,65,0,25,62,0,56,73,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-07-01,74,68,52,0,0,69,54,0,36,58,0,59,97,63,82,0,21,74,0,67,83,38,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-08-01,72,66,47,0,35,70,73,0,33,56,0,63,82,73,74,0,26,70,0,62,87,38,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-09-01,67,68,53,0,55,81,48,0,32,56,0,80,86,76,68,0,23,59,0,76,75,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
