date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price
2017-01-01,64,0,77,0,29,0,0,47,19,53,42,33,41,48,0,45,66,60,68,8,11,12,45,22,0,16,0,11,0,18,0,0,55,9,0,0,0,50,0
2017-02-01,62,0,77,57,35,0,0,60,19,59,17,32,31,52,0,32,75,47,80,8,14,16,48,21,9,17,14,11,0,21,0,0,54,7,0,0,0,45,0
2017-03-01,66,0,87,0,39,0,0,79,24,90,47,40,56,63,0,29,83,55,78,8,13,13,51,25,10,19,9,14,0,24,0,0,38,4,35,0,0,35,0
2017-04-01,63,0,80,0,36,0,0,87,22,82,57,47,68,68,16,25,80,62,84,8,25,0,51,28,14,18,5,13,0,26,0,0,0,8,0,0,0,59,0
2017-05-01,66,0,99,70,39,0,0,70,20,71,47,42,58,60,0,22,77,62,71,8,22,9,44,26,0,16,7,12,0,25,0,0,0,7,0,0,0,66,0
2017-06-01,61,0,85,0,42,0,0,77,20,74,43,46,41,59,0,19,74,61,70,10,0,0,42,26,0,15,6,12,0,27,0,0,57,0,0,0,0,76,0
2017-07-01,64,0,74,0,30,0,0,51,20,72,40,45,39,55,0,22,68,74,71,10,0,17,37,26,7,17,0,11,0,17,0,0,0,0,0,0,0,70,0
2017-08-01,61,0,75,0,34,0,0,63,18,45,34,38,37,49,0,21,69,50,66,9,12,11,38,26,0,16,8,10,0,16,0,0,0,0,0,0,0,63,0
2017-09-01,60,0,77,0,33,0,0,62,19,74,44,41,45,57,0,20,82,56,73,9,14,10,46,30,15,17,7,11,0,18,0,0,0,6,0,93,0,86,0
2017-10-01,65,0,80,62,37,0,0,72,18,59,28,35,38,57,0,32,74,61,64,10,24,14,44,26,8,17,6,11,0,24,0,0,0,0,0,0,0,66,0
2017-11-01,63,0,93,75,41,0,0,76,22,67,37,36,47,68,0,39,72,63,75,9,14,19,45,24,0,18,8,12,0,19,0,0,0,5,38,0,0,68,0
2017-12-01,60,0,78,0,38,0,0,62,19,57,41,34,44,65,0,31,70,59,75,9,0,11,40,27,7,15,5,11,0,15,0,0,44,4,0,0,0,73,0
2018-01-01,64,0,75,0,39,0,0,68,18,55,30,34,32,59,0,34,72,62,69,8,9,12,37,23,0,16,6,11,0,14,0,0,35,0,0,0,0,54,0
2018-02-01,63,0,65,0,34,0,0,55,17,59,34,31,31,52,0,21,79,57,69,7,11,0,40,24,8,15,0,10,0,16,0,0,0,5,0,0,0,100,0
2018-03-01,61,0,71,48,41,0,0,77,20,78,65,32,35,66,21,36,72,69,74,7,11,10,48,26,7,16,5,11,0,21,0,0,34,7,0,0,0,58,0
2018-04-01,63,0,72,71,40,0,0,85,21,61,42,33,48,72,0,39,71,63,81,9,22,8,51,27,9,16,6,12,0,22,0,0,0,9,0,0,0,73,0
2018-05-01,65,0,69,0,40,0,0,79,19,65,57,31,40,62,15,20,70,66,69,9,8,11,46,27,10,15,0,11,0,19,0,0,43,0,0,0,0,74,0
2018-06-01,70,0,76,0,37,0,0,72,19,72,44,31,38,61,0,22,65,70,70,10,8,12,64,28,0,16,4,11,0,21,0,0,0,8,0,0,0,69,0
2018-07-01,65,0,79,66,39,0,0,71,18,64,48,32,37,62,0,23,65,72,70,10,10,13,46,29,0,17,8,11,0,20,0,0,30,0,0,0,0,82,47
2018-08-01,64,0,70,67,34,0,0,54,19,64,46,30,34,54,0,23,61,60,65,10,10,10,40,29,10,19,7,12,0,20,0,0,0,6,0,0,0,66,0
2018-09-01,59,0,76,0,33,0,0,72,19,61,42,31,40,60,21,28,66,54,65,10,8,0,44,31,8,16,0,12,0,22,0,0,38,5,37,100,0,69,0
2018-10-01,63,0,78,58,40,0,95,71,22,82,41,33,40,66,0,27,68,73,75,10,22,12,48,32,7,17,10,14,0,16,0,0,0,11,0,0,0,67,0
2018-11-01,60,0,76,46,40,0,0,72,22,75,41,31,42,61,0,37,77,74,66,10,17,16,41,30,10,17,7,13,0,18,0,0,42,5,0,0,0,59,0
2018-12-01,70,0,75,0,38,0,0,68,20,77,40,28,34,61,0,23,63,64,66,11,10,9,47,32,13,17,5,14,0,19,0,0,49,10,37,0,0,70,0
2019-01-01,65,0,73,0,31,0,0,61,20,60,37,30,28,46,0,32,72,74,68,11,10,18,45,25,8,18,8,12,0,19,0,0,35,12,45,0,0,63,0
2019-02-01,64,0,63,0,32,51,0,56,19,53,32,27,31,45,16,26,66,58,65,11,13,13,41,25,13,18,5,12,0,21,0,0,63,6,0,0,0,44,0
2019-03-01,62,0,69,0,36,0,0,66,22,68,59,33,34,61,16,33,67,68,80,11,16,13,50,31,9,18,11,14,0,23,0,0,56,10,0,0,0,70,0
