date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,train schedule,train ticket price
2020-10-01,18,0,64,0,31,0,0,77,31,56,47,48,42,39,0,38,54,48,56,18,27,21,50,37,27,31,13,34,28,24,0,38,34,32,0,0,0,0
2020-11-01,19,0,75,0,29,85,0,73,34,52,29,49,63,41,27,24,60,48,64,20,26,26,47,31,25,31,15,37,23,28,0,0,43,38,32,0,0,0
2020-12-01,17,0,70,0,35,0,0,69,28,37,55,41,43,42,27,17,51,37,63,14,15,15,45,26,23,29,16,32,30,21,0,0,24,18,30,0,0,0
2021-01-01,19,0,69,0,35,0,0,60,28,52,0,42,24,39,21,17,51,46,54,14,28,22,48,28,17,24,14,29,25,18,0,0,0,20,0,0,0,0
2021-02-01,17,0,68,0,35,0,0,70,28,58,0,44,30,37,0,35,60,52,60,12,22,24,52,30,25,26,9,31,29,17,0,0,33,20,37,0,20,0
2021-03-01,18,0,72,0,39,0,0,60,29,56,53,40,31,38,17,33,58,44,60,11,26,13,57,27,17,26,7,32,23,24,0,0,28,26,0,0,0,0
2021-04-01,17,0,67,0,34,0,0,66,30,59,46,42,61,36,22,32,56,50,59,13,28,21,59,32,28,28,11,32,41,22,0,0,30,20,30,0,0,0
2021-05-01,19,0,64,0,46,0,0,63,29,63,33,45,38,38,16,28,55,47,61,14,33,25,54,36,42,31,11,31,28,24,0,0,0,22,43,0,21,0
2021-06-01,18,0,64,0,40,0,0,66,33,48,48,50,23,38,0,30,54,45,61,15,63,27,68,34,36,30,7,32,17,23,0,0,0,23,0,0,0,0
2021-07-01,19,0,63,0,41,0,0,57,36,68,53,35,30,37,29,36,55,53,61,16,15,15,55,43,41,29,9,31,28,28,0,0,26,21,0,0,22,97
2021-08-01,18,0,66,0,39,0,0,57,35,54,48,34,45,37,19,32,55,54,59,19,23,23,52,39,34,35,20,34,28,22,0,0,45,43,0,0,0,0
2021-09-01,15,0,61,0,39,0,0,50,33,46,38,34,50,37,21,39,61,44,59,17,30,20,60,39,24,30,16,33,0,28,0,0,0,29,0,0,0,0
2021-10-01,17,0,64,0,38,0,0,57,31,48,52,31,38,36,17,34,51,43,61,13,21,10,58,31,15,25,18,29,38,27,0,52,0,13,0,0,0,0
2021-11-01,19,0,74,0,46,0,51,61,45,36,49,30,42,39,24,36,52,52,62,18,45,27,57,34,100,31,22,36,42,25,0,0,0,54,44,0,0,0
2021-12-01,18,0,88,0,48,0,0,83,61,55,45,35,51,42,54,34,57,80,62,100,72,44,76,74,93,58,86,58,32,41,0,86,100,84,50,0,0,0
2022-01-01,27,0,100,0,54,0,0,67,53,85,63,37,60,50,42,57,75,94,68,54,49,27,76,63,51,46,56,50,60,44,0,0,53,47,47,0,20,0
2022-02-01,23,0,81,0,56,0,0,90,50,70,43,61,73,48,44,58,68,90,66,48,43,37,73,54,37,46,61,48,68,54,0,48,45,58,46,0,16,0
2022-03-01,22,0,83,0,71,0,100,86,43,64,85,60,65,55,33,55,78,84,78,36,34,26,75,43,35,34,50,46,49,59,0,0,57,35,70,26,0,0
2022-04-01,23,0,74,0,72,0,54,83,45,55,76,44,51,52,35,39,74,84,73,40,31,27,65,51,43,43,61,44,48,72,0,48,51,40,41,26,19,0
2022-05-01,24,0,69,0,73,0,36,82,43,58,75,38,58,51,24,47,75,76,62,44,28,20,75,55,45,37,48,40,82,56,0,52,39,44,46,37,26,63
2022-06-01,24,0,63,0,73,0,0,76,37,69,66,33,39,51,32,50,74,78,60,38,28,41,71,50,39,36,49,37,64,61,0,46,38,27,36,33,15,0
2022-07-01,26,0,69,0,69,0,52,67,38,82,55,34,33,50,28,41,76,65,58,38,44,45,57,50,41,35,44,38,62,60,0,55,29,32,46,0,25,0
2022-08-01,24,0,70,0,67,0,49,67,38,64,74,33,33,52,18,36,76,68,60,46,30,52,66,52,36,36,43,38,49,53,0,64,45,36,65,0,0,0
2022-09-01,21,0,60,0,62,0,42,66,32,59,50,38,32,45,25,34,72,61,56,29,27,30,60,40,26,30,33,31,40,63,0,0,19,31,24,0,20,0
2022-10-01,22,0,70,0,59,0,0,80,32,71,62,33,48,48,21,43,73,56,56,28,24,22,61,44,37,32,30,33,44,42,0,48,37,27,44,0,0,0
2022-11-01,21,0,71,0,61,0,0,81,37,67,74,32,73,51,24,45,74,71,60,34,27,30,81,48,32,33,31,32,40,48,0,59,47,32,29,0,15,0
2022-12-01,24,0,70,0,65,0,0,73,43,83,81,29,74,52,22,31,70,66,61,35,25,19,90,50,28,32,34,36,41,54,0,44,29,31,38,35,0,62
2023-01-01,25,0,75,0,62,0,0,83,43,95,49,27,55,50,20,37,72,68,58,34,28,25,67,48,39,31,35,37,35,44,0,82,49,34,36,26,17,0
2023-02-01,23,0,68,0,60,0,0,71,33,79,72,27,69,53,22,29,73,48,57,21,11,23,73,38,29,30,15,32,42,33,0,53,29,19,36,0,15,0
2023-03-01,24,0,81,0,62,0,0,81,38,79,66,27,72,52,26,38,79,61,62,26,26,24,62,41,31,32,21,35,21,30,41,56,27,29,45,24,0,0
2023-04-01,22,0,66,0,62,0,0,79,35,78,75,25,78,51,0,35,74,55,56,23,21,27,64,36,27,29,13,32,30,36,0,42,27,23,43,39,0,46
2023-05-01,30,0,64,0,64,0,62,75,51,76,77,28,69,48,45,51,81,66,59,40,39,36,63,47,32,45,29,47,31,42,0,68,29,46,49,32,0,48
2023-06-01,25,0,67,0,66,0,0,78,63,86,69,33,53,50,60,51,75,72,61,59,49,56,60,59,43,62,34,60,23,55,0,72,39,58,56,0,0,0
2023-07-01,25,0,73,0,66,0,0,69,69,75,51,30,58,50,57,54,80,77,55,63,52,62,59,59,42,61,37,61,29,55,0,69,31,68,27,0,21,0
2023-08-01,26,0,70,0,73,0,0,60,72,64,73,31,56,52,58,55,77,78,62,73,66,60,65,64,43,70,36,69,22,56,0,40,40,65,48,0,27,0
2023-09-01,25,0,67,0,69,0,0,85,68,76,76,32,53,51,52,61,76,92,67,72,64,60,64,60,44,69,44,68,24,60,0,55,55,80,48,0,20,0
2023-10-01,22,0,65,0,60,0,0,77,66,74,55,31,68,50,53,59,77,83,67,59,52,55,62,52,42,59,40,64,29,44,0,56,40,57,59,0,23,50
2023-11-01,23,0,68,0,66,45,0,67,62,74,77,26,61,47,42,51,76,78,63,53,44,49,59,52,43,58,33,62,23,43,0,0,37,71,46,0,0,0
2023-12-01,23,0,69,0,66,51,0,73,70,80,56,33,67,51,68,58,77,74,67,59,61,56,63,58,44,65,45,66,34,55,0,39,43,97,30,0,26,65
2024-01-01,26,0,83,0,69,0,0,73,80,79,54,38,69,52,69,61,81,88,63,69,64,69,66,69,49,72,48,78,37,92,0,71,65,100,32,0,36,0
2024-02-01,26,0,76,0,75,0,0,90,81,100,67,37,76,56,77,72,96,100,72,74,71,82,67,72,49,83,52,84,37,94,62,83,65,94,55,0,35,0
2024-03-01,24,0,76,0,82,0,0,87,74,77,60,38,77,54,71,79,94,88,72,64,59,76,62,61,49,72,51,72,44,100,0,73,32,89,55,0,29,0
2024-04-01,24,0,70,0,80,0,0,74,68,84,44,33,61,50,48,58,81,83,68,56,53,58,64,57,50,64,46,66,27,76,0,82,37,76,50,35,44,0
2024-05-01,25,0,67,0,82,0,0,86,73,92,48,34,44,48,79,51,78,90,71,62,59,66,66,57,39,70,54,73,24,64,0,52,59,78,70,0,26,68
2024-06-01,33,0,69,0,91,0,0,87,81,91,75,36,80,50,55,57,81,98,77,64,65,81,69,66,49,78,60,78,47,51,0,84,65,85,39,0,39,0
2024-07-01,27,0,68,0,92,0,0,74,78,82,86,36,55,50,68,51,76,87,64,60,61,74,62,67,42,74,57,74,40,55,0,70,33,68,39,0,18,0
2024-08-01,30,0,66,0,89,0,0,68,76,81,53,40,54,51,53,73,81,86,68,61,53,59,55,64,50,74,58,73,28,64,0,69,51,80,33,0,37,0
2024-09-01,29,0,67,0,88,0,0,88,62,79,61,37,74,48,51,69,86,74,71,36,52,60,64,60,65,64,54,52,33,48,41,91,49,93,0,0,31,100
2024-10-01,34,0,70,0,84,0,0,83,60,67,73,35,69,46,40,64,80,92,64,34,36,60,69,56,62,61,49,50,43,39,0,50,82,71,32,0,40,0
2024-11-01,55,0,76,0,81,0,0,85,71,85,76,39,71,52,66,60,73,76,69,38,40,65,74,60,57,66,60,60,26,50,0,75,69,74,52,0,42,0
2024-12-01,29,0,75,0,83,0,0,69,50,61,76,31,81,50,32,48,80,70,65,24,28,22,58,39,19,40,18,41,23,34,0,0,29,33,51,0,0,0
2025-01-01,29,0,72,0,87,0,0,79,57,84,83,33,59,50,44,45,80,81,67,31,32,37,66,48,28,49,33,49,21,39,0,42,47,45,39,0,23,0
