date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price,/m/01q82,/g/1211cg58,/m/012_3l,/m/0gfps3,/g/11gbfbpzht
2021-02-01,86,10,42,63,48,86,32,31,73,61,68,38,56,82,48,60,61,26,73,72,74,32,25,74,64,45,56,85,39,51,56,43,40,88,34,42,6,17,35,13,0,41,69,3
2021-03-01,86,21,37,66,49,77,33,37,77,65,68,41,67,82,51,54,58,31,75,69,57,28,24,66,62,46,57,88,40,52,60,43,35,80,34,45,12,14,33,13,4,60,67,3
2021-04-01,88,22,35,73,45,60,36,33,91,85,60,58,53,72,47,46,55,30,75,54,53,22,22,47,71,38,55,87,41,52,57,62,29,64,32,33,15,9,18,12,3,58,57,3
2021-05-01,100,15,35,72,51,54,30,37,100,100,78,67,47,72,58,43,59,22,85,41,50,18,25,33,73,40,52,90,52,59,62,62,30,58,40,25,9,5,11,13,0,58,55,2
2021-06-01,94,14,38,67,59,75,31,36,84,70,73,46,55,81,67,55,64,24,87,61,57,22,36,49,90,50,51,93,56,73,63,52,39,77,36,25,18,7,25,14,0,64,61,3
2021-07-01,93,10,38,66,49,75,32,35,81,62,69,36,73,80,65,59,61,24,74,64,49,24,32,65,77,50,58,92,50,57,64,50,40,78,31,33,24,11,36,22,7,61,65,35
2021-08-01,85,6,39,74,49,70,34,35,73,60,85,38,60,80,62,71,59,27,67,65,46,24,27,72,66,50,58,86,49,56,71,44,37,73,33,28,16,11,38,17,7,58,65,54
2021-09-01,85,4,37,65,44,67,34,34,79,58,67,35,51,71,55,69,56,21,66,63,44,27,29,72,65,50,73,82,45,53,65,41,37,71,32,23,11,10,47,16,11,32,69,57
2021-10-01,85,5,40,65,46,62,28,32,98,54,63,34,43,79,53,57,54,21,61,65,38,20,23,70,63,42,64,82,39,48,56,35,29,62,34,23,18,14,47,16,10,38,59,40
2021-11-01,80,4,44,63,47,60,32,31,87,55,63,33,50,81,58,59,57,19,68,71,42,21,24,74,59,42,66,78,44,54,48,37,29,64,36,19,12,17,54,17,7,47,55,45
2021-12-01,92,3,50,61,53,67,38,33,92,50,73,35,45,81,55,62,59,22,68,79,47,37,24,78,59,45,67,82,39,52,52,43,31,70,30,29,12,16,50,18,6,51,55,54
2022-01-01,92,4,76,79,65,80,35,36,88,63,74,40,67,84,73,73,72,26,89,60,54,28,26,63,61,47,56,88,48,72,67,63,31,79,40,72,12,11,33,17,12,66,73,55
2022-02-01,98,8,100,93,77,84,38,44,91,68,88,46,100,100,84,73,69,29,100,72,59,37,32,74,64,53,65,84,53,78,100,51,31,85,47,100,12,15,52,24,15,93,100,52
2022-03-01,89,21,63,100,76,78,49,51,89,66,78,41,96,89,78,83,72,29,84,77,53,30,30,77,61,54,63,84,56,82,93,54,32,77,48,98,18,17,64,24,32,94,94,45
2022-04-01,97,26,58,77,85,67,42,52,83,66,70,31,86,85,74,73,69,26,72,79,46,24,27,78,60,50,59,84,54,72,69,60,29,71,38,65,55,18,70,20,59,92,87,39
2022-05-01,89,16,51,61,100,75,48,37,80,61,66,30,77,86,70,73,66,23,62,79,43,18,26,84,54,48,62,79,58,70,66,56,31,74,33,62,29,20,83,16,14,48,71,46
2022-06-01,91,10,45,56,94,84,46,36,79,65,64,37,64,79,67,69,62,26,67,75,50,23,25,85,60,52,69,84,74,67,57,64,31,84,26,23,29,18,80,15,46,64,69,46
2022-07-01,94,7,46,61,89,81,51,36,84,67,69,33,64,75,65,76,66,25,65,69,49,57,25,80,56,51,62,83,80,69,57,59,31,87,26,22,24,15,70,16,100,65,84,48
2022-08-01,87,5,44,58,81,82,53,34,79,62,84,33,53,84,59,78,62,23,60,76,40,18,24,79,53,48,67,82,52,66,61,56,27,82,25,25,21,16,70,15,62,59,74,40
2022-09-01,86,5,46,66,84,84,55,40,79,65,100,29,62,89,61,80,65,24,74,69,39,15,26,79,53,48,69,82,49,62,65,55,26,82,28,27,19,17,73,18,45,41,94,43
2022-10-01,84,3,43,56,74,81,47,34,77,54,83,27,49,89,51,65,63,20,63,68,37,14,24,84,51,40,61,84,75,56,56,80,22,80,25,28,12,24,77,35,36,14,77,41
2022-11-01,84,3,51,64,81,85,50,40,92,59,78,26,64,81,53,82,63,23,70,76,61,18,42,78,48,47,63,85,62,61,64,70,26,80,27,49,17,24,77,43,22,19,81,58
2022-12-01,93,3,51,54,74,87,46,38,85,54,78,30,67,80,51,71,66,21,73,77,73,21,65,89,48,44,61,82,49,58,65,70,25,83,28,54,16,23,79,54,17,19,76,53
2023-01-01,83,4,71,69,74,86,55,35,84,55,73,27,68,78,50,76,66,22,67,76,100,25,31,81,47,45,57,83,55,55,62,89,25,83,27,50,16,20,75,43,22,19,92,58
2023-02-01,88,8,60,63,85,100,48,39,88,63,78,27,69,76,56,75,65,24,73,76,85,73,28,81,48,45,69,84,57,59,67,75,28,97,28,39,15,19,79,44,30,29,99,66
2023-03-01,85,11,60,76,72,91,51,36,88,59,86,28,76,82,52,78,63,25,68,75,67,27,29,81,53,47,62,82,71,69,67,86,24,90,27,48,13,17,85,56,11,20,94,69
2023-04-01,86,21,47,51,66,77,45,32,79,63,67,27,57,69,48,71,60,22,61,76,50,27,24,85,60,43,58,82,61,53,50,85,24,76,21,18,17,16,88,38,9,20,71,48
