date,Age,Air Conditioner Price,Cosmetics,Employment Rate,Inflation,Bank loan rate,Forex rate,confidence,health,weakness,trajectory,news,Economic development,market,onsite,applicant,drive,wage,active,rental,annuity,rebate,goal,restaurant,takeaway,training,childcare,care,career opportunities,cost of living,economic policies,freelancing,government jobs,loan interest,market prices,national economy,power cut schedule,train schedule,train ticket price
2016-09-01,36,0,59,0,23,0,0,71,31,28,38,52,50,28,12,0,57,28,52,29,10,35,33,64,59,55,0,25,0,50,0,68,27,0,0,0,0,31,0
2016-10-01,35,0,54,0,21,0,0,71,33,28,51,59,47,29,8,24,58,29,49,29,0,26,31,65,68,53,0,27,0,43,0,0,33,0,29,0,0,32,0
2016-11-01,36,0,63,0,24,0,0,58,30,34,45,62,39,31,12,21,63,33,58,33,20,40,33,68,44,50,0,28,23,57,0,0,0,0,37,0,0,43,0
2016-12-01,42,0,75,0,25,0,0,52,28,34,0,51,26,36,20,21,45,37,58,42,25,31,37,90,39,51,0,31,0,55,0,0,42,0,48,0,0,38,0
2017-01-01,43,0,64,0,23,0,0,57,39,32,0,72,35,36,14,25,53,47,55,41,0,38,38,73,29,55,0,33,18,66,0,0,33,0,34,0,0,0,0
2017-02-01,38,0,57,0,25,0,0,57,33,25,28,65,37,33,15,18,66,35,56,37,0,41,32,77,23,55,0,37,0,54,0,0,40,11,0,0,0,0,0
2017-03-01,38,0,54,0,26,0,0,58,36,25,18,56,40,32,16,40,70,40,53,38,0,39,30,73,66,55,0,38,0,57,0,0,34,11,28,0,0,37,0
2017-04-01,39,0,61,0,25,0,0,57,31,28,0,58,45,36,19,30,59,34,51,39,0,39,32,78,52,55,0,35,0,49,0,0,0,0,37,0,0,0,0
2017-05-01,35,0,58,0,24,0,0,63,33,23,37,52,48,34,11,0,65,34,55,37,21,32,33,79,51,54,12,49,21,56,0,0,24,0,44,0,0,0,0
2017-06-01,44,0,67,0,26,0,0,48,33,27,23,50,29,34,10,20,53,34,60,40,13,39,36,79,26,54,0,36,0,44,0,0,0,12,31,0,0,45,0
2017-07-01,51,0,74,0,25,0,0,62,36,34,0,50,19,39,13,21,51,43,59,51,13,42,34,88,24,61,0,32,0,62,0,0,42,12,34,0,0,37,0
2017-08-01,43,0,67,0,25,0,0,54,37,28,61,61,33,38,15,0,69,36,55,39,14,44,31,76,21,52,0,30,0,60,0,0,38,9,0,0,0,0,100
2017-09-01,36,0,54,0,25,0,0,70,32,25,79,62,34,34,14,26,70,31,58,28,0,31,24,66,56,52,0,28,0,49,0,0,0,0,35,0,0,39,0
2017-10-01,36,0,71,0,26,0,0,60,31,28,35,49,42,34,0,0,76,32,55,32,12,36,25,70,31,53,0,29,0,40,0,0,34,0,0,0,0,0,0
2017-11-01,36,0,77,0,25,0,0,69,30,28,27,49,30,40,0,21,76,36,56,37,15,44,24,77,41,53,12,29,0,61,0,0,27,0,45,0,0,0,0
2017-12-01,44,0,84,0,26,0,0,62,30,30,26,59,25,47,13,22,55,42,57,45,0,34,28,100,23,48,0,26,0,54,0,0,0,0,38,0,0,40,0
2018-01-01,41,0,67,0,26,0,0,53,34,33,26,67,25,47,16,26,63,48,56,43,21,37,30,89,28,54,0,33,0,82,0,0,35,14,55,0,0,0,0
